title,question
Not enough details for a Daily Scrum?,"The Scrum Guide states: ""The Sprint Backlog […] should have enough detail that they can inspect their progress in the Daily Scrum.""  What if the Sprint Backlog lacks enough details, hindering inspection during the Daily Scrum? What should the team do then?"
Making the emergent process visible,"The Scrum Guide says: ""The emergent process and work must be visible to those performing the work as well as those receiving the work."" How can the emergent process and work be made visible to those performing the work? How can it be made visible to those receiving it?"
Implement TIA,"How does the ""Sprint Event"" help to implement transparency, inspection & adaptation? "
Enabler for Improvement,How can a Scrum Master enable the team to improve its practices? What within the Scrum framework helps them do that? 
Use of forecasting,"How forecasting progress, using burn-downs, burn-ups or cumulative flows, might be useful for the team and the organisation? Does it supplement or conflict with empiricism?"
Danger or not?,How can a Scrum Team determine whether a change would endanger the Sprint Goal or not? 
Developers don’t prepare for Refinement,"The Product Owner of your Scrum Team reaches out to you asking for help. The latest Backlog Refinement session was cancelled in the middle as everyone felt they were wasting their time - no one reviewed the latest updates of the Product Backlog Items, so the team couldn’t come up with meaningful conversations to refine them. What would be your suggestion in this case? "
#time-boxing,How is time-boxing helpful for self-managing teams? 
Passing ownership from PO to Developers,"The Product Owner on your Scrum Team says that he trusts the Developers completely. He empowers them to take ownership of stakeholder management, product backlog management and identifying a sprint goal. How do you, the Scrum Master, proceed? "
Time over,"What should a Scrum Team do if the timebox of an event is over, but the goal of the event is not achieved?  "
PO’s over-care of the product backlog ,"The Product Owner is highly conservative over who gets access to the Product Backlog, which is maintained in a personal spreadsheet. He argues that if anyone wants to have access to information about the Product Backlog, they can talk to him directly or join in on scheduled Product Backlog refinement sessions. What would be your reaction to this as the Scrum Master of the team? "
Unexpected finding right before the Sprint Review,"Just prior to the Sprint Review, a Developer determines some aspects of a process deviate outside acceptable limits, and that the resulting product will be unacceptable. What should the Scrum Team do? "
Artifact Knowledge,Is it relevant that Developers and their Stakeholders are aware of the Scrum Artifacts and understand the purpose behind them? Why or why not? What would be made possible by having this knowledge? 
Key stakeholder missing Sprint Review,"You, as a Scrum Master, spent a fair effort to find a time slot for your team and stakeholders to hold Sprint Reviews. Though, one of your key stakeholders can’t come up with a stable schedule. She already missed the last two sessions, and the team mentioned the lack of feedback for the latest Increment. What will you do to help them out? "
Targets and Goals,"The Scrum Guide states: ""The Product Goal describes a future state of the product which can serve as a target for the Scrum Team to plan against"".  If the Product Goal can serve as a target, does this mean there could also be other targets to plan against besides the Product Goal?"
Emancipating from Scrum?,Is a self-managing team empowered to drop Scrum itself? Or to drop individual events like the Daily Scrum? 
Multiple Whys in Sprint Goal,"The Scrum Guide states: ""The whole Scrum Team then collaborates to define a Sprint Goal that communicates why the Sprint is valuable to stakeholders"".  Can a single Sprint Goal contain several points of value to stakeholders?  Example: ""Create a login page so that users can securely enter the platform AND learn the basic information about our product (as we don’t have a homepage yet)""."
Explain Scrum to ...,Explain Scrum to: - a 5 year old; - a 90 year old; - someone outside of software development.
Reinforcing Commitments,How do the three commitments help reinforce the Scrum Values? 
Status and progress updates for PO on Daily,"The Product Owner insists on participating in the Daily Scrum so as to keep informed of the status and progress of development. How do you, the Scrum Master, proceed? "
Velocity in Scrum Guide,Does the Scrum Guide mention velocity? And whether it does or doesn't which value(s) it's related to? 
Apply & Devise,"The Scrum Guide says: ""As Scrum is being used, patterns, processes, and insights that fit the Scrum framework as described in this document, may be found, applied and devised"".  What examples could you name, and how can they be helpful for a Scrum Team? Can you think of examples when it could be harmful? "
Improving transparency over the Artifacts,Decisions to optimise value and control risk are made based on the perceived state of the artifacts. Which Scrum events improve transparency over the artifacts? Explain how. 
Wasteful events,Some of the Developers see Scrum events as a waste of time because nothing comes out of them. The team seems to hold the events because the Scrum Guide says so. How would you approach this situation as the Scrum Master?
What Sprint Review is,One of the Scrum events is the Sprint Review. How does the Sprint Review enable empiricism? What would be the impact if some Developers were not present? 
DoD with multiple teams ,"Two Scrum teams are working on the same product to get the increment ready. One Scrum Team targets 80% code coverage, and they are running performance tests. The other Scrum Team leaves the coverage of the code to the discretion of each developer; they do not run performance tests because they consider that User Acceptance tests are much more important. As a Scrum Master, what do you think of this scenario? "
Engaged Group of People,Who and when identifies that the Scrum Team indeed have all the skills and expertise to do the work? How can it be validated at the beginning of the development? 
Swapping planned items due to complexity,"During a Sprint, the Developers realise an item they selected in the forecast is much more complex than estimated. With approval from the Product Owner, the Developers change it for an item they think they can finish. How would you, the Scrum Master, proceed? "
Impact on Value,How does Scrum help generate value?  
Scrum Master as Impediment Remover,"Is Scrum Master accountable for the removal of impediments? If yes, how is the Scrum Master doing that? If no, who is accountable? "
Does size matter?,"What should the team do if they want to take on an item in Sprint Planning, but they are not sure if it’s doable within one Sprint? What if they only realize this during Sprint Planning itself? "
Order vs. Priority, How is ordering a Product Backlog different from prioritizing? 
Conclude & Start,"A Sprint always starts immediately after the previous one concludes, once your Retrospective has concluded. What do you do if you can’t have Sprint Planning right after the Retro (e.g. half of your team has a day off the next day and could not attend the usual planning)? "
No other meetings,The Delivery Manager asks the Scrum Master and Developers not to have meetings outside the Sprint Events because she wants the Developers to write code because this is what they should do. How should the Scrum Master react to such a request? 
Make lack of skills transparent,"If the developers do not have the skills to create an Increment every Sprint, what practices can be used to create as much transparency as possible? "
Requirements are not clear but PO is very busy,You are a Scrum Master working with a Scrum Team. The Developers constantly complain that requirements are not clear enough. The Product Owner claims she is too busy to provide extra clarity. What should you do? 
Coaching Cross-Functionality,How can cross-functionality be coached? 
Done or Not Done,"During a Sprint Review, when Developers are answering questions about the increment, there is a discussion related to work on a specific Product Backlog Item that is not considered ""Done"" by some. The Developers that worked on the item are in disagreement. Some argue it is ""Done"", others argue it is not. "
Remaining Work,You have items left in the Sprint Backlog at the end of the Sprint. They are not related to the Sprint Goal you plan to select for the next Sprint. What will you do with those items? Is it wasteful to start an item and then not follow through with it? How can waste be reduced? Should the team not start items towards the end of the Sprint if they are not sure they can be done? 
Relative Efficacy ,"The Scrum Guide claims: ""Scrum makes visible the relative efficacy of current management, environment, and work techniques, so that improvements can be made.""  How is Scrum making visible the relative efficacy of: - Current Management; - Environment; - Work Techniques?"
Three artifacts of the Scrum framework,The Scrum framework identifies three artifacts. What are they? When are they inspected? 
Over-running the time-box,The Developers are regularly over-running the time-box for the Daily Scrum. Some of them appear actively bored. You notice that it is often one team member taking the majority of the time. How would you proceed? 
Container Event,Why is a Sprint needed as a container event? 
Measuring Product Value,How can a Scrum Team measure the value of the product? Is it their accountability to measure it?  
Use of the Product Backlog,How does a Scrum Team use a Product Backlog? 
Committing to uncertainty,The Sprint Goal should provide flexibility in terms of the exact work needed to achieve it. Yet Developers are supposed to commit to that at the Sprint Planning. How is it possible to commit to something that provides flexibility like this? 
Cherry-Picking Scrum,"How do you deal with the situation where teams/organization pick & choose some parts from Scrum but not others? When approached, they say that those things ""would not work here"" because of... "
Performance review by Scrum Master,"HR is requesting the Scrum Master to provide input for a performance review from one of the members on the team (because Scrum Master is assumed to be closest to the day-to-day performance of people on the team). How do you, the Scrum Master, proceed? "
Guidance to top management,"You've recently joined an organization as a Scrum Master. The management reaches out to you and asks what they should do for their Scrum Teams. You feel like you are still out of context, but you must give them the first guidance. What might you answer? "
#Cancelled Sprint,"Is it a must to cancel the Sprint if its Goal becomes obsolete? If not, what will the team do within this Sprint? "
Time lag for outcome,"What if the outcome of the Sprint can be inspected only with a time lag (e.g., after gathering analytics data from production)? How this may affect the way the team holds the Sprint Review? Should the team inspect the outcome of previous Sprints?"
